              Procedure           Image            Address        Calls Instructions
_ZNSt5ctypeIwE19_M_initialize_ctypeEv  libstdc++.so.6       7f48d41951c0            1         2757
_ZNKSt5ctypeIwE19_M_convert_to_wmaskEt  libstdc++.so.6       7f48d4194c10           12          129
 _ZNSt5ctypeIcEC2EPKtbm  libstdc++.so.6       7f48d4194950            1          159
       _ZNSt6localeC1Ev  libstdc++.so.6       7f48d418dd90           22          462
 _ZNSt6locale5_ImplC1Em  libstdc++.so.6       7f48d418cbc0            1          819
_ZNSt6locale5_Impl16_M_install_facetEPKNS_2idEPKNS_5facetE  libstdc++.so.6       7f48d418c810           28         7448
_ZNKSt6locale2id5_M_idEv  libstdc++.so.6       7f48d418c7d0           84          700
       _ZNSt6localeD1Ev  libstdc++.so.6       7f48d418c430            8           96
    _ZNSt6localeaSERKS_  libstdc++.so.6       7f48d418c3b0            8          136
_ZNSt6locale5facet13_S_get_c_nameEv  libstdc++.so.6       7f48d418c200            5           10
_ZNSt6locale5facet15_S_get_c_localeEv  libstdc++.so.6       7f48d418c1c0           10           92
_ZNSt8ios_base7_M_initEv  libstdc++.so.6       7f48d418b7a0            8          144
_ZNSt8ios_base4InitD1Ev  libstdc++.so.6       7f48d418b4a0            1           24
_ZNSt8ios_base4InitC2Ev  libstdc++.so.6       7f48d418abd0            1          270
     _ZNSt8ios_baseC2Ev  libstdc++.so.6       7f48d418a6d0            8          472
     _ZNSt5ctypeIwEC2Em  libstdc++.so.6       7f48d418a2e0            1           19
_ZNSt7codecvtIwc11__mbstate_tEC2Em  libstdc++.so.6       7f48d4187650            1           17
_ZNSt7codecvtIcc11__mbstate_tEC1Em  libstdc++.so.6       7f48d41875b0            1           17
_ZNK10__cxxabiv121__vmi_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE  libstdc++.so.6       7f48d417cbc0            8          464
_ZNK10__cxxabiv120__si_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE  libstdc++.so.6       7f48d417c220           40         1400
    __cxa_guard_release  libstdc++.so.6       7f48d417bbc0            1            5
    __cxa_guard_acquire  libstdc++.so.6       7f48d417ba90            1           26
         __dynamic_cast  libstdc++.so.6       7f48d417a140           48         2160
                  .text  libstdc++.so.6       7f48d4178620            0          294
                   .plt  libstdc++.so.6       7f48d4175cc0           62         1001
                  _init  libstdc++.so.6       7f48d4175c98            1            6
                realloc ld-linux-x86-64.so.2       7f48e795adb0            0          725
                   free ld-linux-x86-64.so.2       7f48e795ac40            2           12
                 calloc ld-linux-x86-64.so.2       7f48e795ac00           18          144
                 malloc ld-linux-x86-64.so.2       7f48e795abf0           35          105
        __libc_memalign ld-linux-x86-64.so.2       7f48e795aae0           36         1160
         __tls_get_addr ld-linux-x86-64.so.2       7f48e7956340            1           11
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f48e7955c00            1          129
        _dl_debug_state ld-linux-x86-64.so.2       7f48e7953970            2            2
                  .text ld-linux-x86-64.so.2       7f48e7943ae0            0         8844
                   .plt ld-linux-x86-64.so.2       7f48e7943a70            0           89
                  _fini            apna             4007e4            1            3
        __libc_csu_init            apna             400770            1           41
    _GLOBAL__sub_I_main            apna             40075b            1            7
_Z41__static_initialization_and_destruction_0ii            apna             40071e            1           17
                   main            apna             4006cd            1           56
            frame_dummy            apna             4006a0            1            3
  __do_global_dtors_aux            apna             400680            1            8
     register_tm_clones            apna             400640            1           12
   deregister_tm_clones            apna             400610            1            8
                 _start            apna             4005e0            1           11
                   .plt            apna             400580            4           20
                  _init            apna             400558            1            6
